38999.aero.	3600	in	ns	ns-71-a.gandi.net.
3days.aero.	3600	in	ns	ns1.101domain.com.
3days.aero.	3600	in	ns	ns2.101domain.com.
3days.aero.	3600	in	ns	ns5.101domain.com.
3dscan.aero.	3600	in	ns	henry.ns.cloudflare.com.
3dscan.aero.	3600	in	ns	mckenzie.ns.cloudflare.com.
3ess.aero.	3600	in	ns	ns-109-b.gandi.net.
3ess.aero.	3600	in	ns	ns-160-c.gandi.net.
3ess.aero.	3600	in	ns	ns-8-a.gandi.net.
3green.aero.	3600	in	ns	ns1.101domain.com.
3green.aero.	3600	in	ns	ns2.101domain.com.
3green.aero.	3600	in	ns	ns5.101domain.com.
3mcorp.aero.	3600	in	ns	jonah.ns.cloudflare.com.
3mcorp.aero.	3600	in	ns	miki.ns.cloudflare.com.
3mpcbkhjgp78vhulm1nsa6kvmnqlp63c.aero.	3600	in	nsec3	1 1 0 73 3URSAVDLKK13SMAKRTGO5H22PT6BPFM4 NS DS RRSIG
3mpcbkhjgp78vhulm1nsa6kvmnqlp63c.aero.	3600	in	rrsig	NSEC3 8 2 3600 20250807154511 20250717144511 54369 aero. RxqBBnuNOlimjLWuXtbRJyrEUKQ9WDWsj9JAB2RIwoKpY8Af1MFCtUrBm14H13PutxPbFKSQaEKHbRG2aezZzxR9/Rih+P2qFhOU5jLDeZeT4HEob5b1Q3aoukOcBiEiziAtRsJIvIEhls37aQ+IH7ElVvoTwWzWh6+X6nJPuPc=
3plex.aero.	3600	in	ns	carol.ns.cloudflare.com.
3plex.aero.	3600	in	ns	lex.ns.cloudflare.com.
3sa.aero.	3600	in	ds	2371 13 2 E56B26F810DA04F115728FB4E5438A23DDDB57D12A52F41CD812B578A5F0269A
3sa.aero.	3600	in	ns	blue.foundationdns.com.
3sa.aero.	3600	in	ns	blue.foundationdns.net.
3sa.aero.	3600	in	ns	blue.foundationdns.org.
3sa.aero.	3600	in	rrsig	DS 8 2 3600 20250807154511 20250717144511 54369 aero. oPDna2n1QoJ+QC2gnnRUXzFi52BlNyBpAF9KSHoF8h+tfkhGhlQK32GO4LTzdyIzWFiGeLAweF5ZaBpjiy5KzXzMdKA61UprWwhKyfRDdfdO0Tnr9TB7aHS5BQAO/bQirC9jvJ0A0VPaIcLLlZtdWVtj/tkfnVALetWewPtb2p4=
3top.aero.	3600	in	ns	ns1.bb-online.net.
