SLD,hostname
ahs-pfinztal.schule.,ns3.iserv.eu.
ahs-pfinztal.schule.,ns4.iserv.eu.
ahw.schule.,ns1.iserv.eu.
ahw.schule.,ns2.iserv.eu.
ahw.schule.,ns3.iserv.eu.
ahw.schule.,ns4.iserv.eu.
ai.schule.,ns1.contabo.net.
ai.schule.,ns2.contabo.net.
aiglhof.schule.,ns1.easyname.eu.
aiglhof.schule.,ns2.easyname.eu.
aikido.schule.,ns.hostpoint.ch.
aikido.schule.,ns2.hostpoint.ch.
aikido.schule.,ns3.hostpoint.ch.
airserver.schule.,b.ns14.net.
airserver.schule.,rzdns01.schwarz.hosting.
ais.schule.,node.nhdns.de.
ais.schule.,node.nhdns.eu.
ais.schule.,node.nhdns.net.
aiwxp.schule.,a.dnspod.com.
aiwxp.schule.,b.dnspod.com.
aiwxp.schule.,c.dnspod.com.
aixone.schule.,ns77.domaincontrol.com.
aixone.schule.,ns78.domaincontrol.com.
akamed.schule.,docks01.rzone.de.
akamed.schule.,shades20.rzone.de.
akasha.schule.,dns1.registrar-servers.com.
akasha.schule.,dns2.registrar-servers.com.
akbk.schule.,ns27.domaincontrol.com.
akbk.schule.,ns28.domaincontrol.com.
akntp.schule.,a.dnspod.com.
akntp.schule.,b.dnspod.com.
akntp.schule.,c.dnspod.com.
ako.schule.,docks14.rzone.de.
ako.schule.,shades01.rzone.de.
aks.schule.,docks19.rzone.de.
aks.schule.,shades16.rzone.de.
aktion.schule.,ns.udag.de.
aktion.schule.,ns.udag.net.
aktion.schule.,ns.udag.org.
aktiv.schule.,docks17.rzone.de.
aktiv.schule.,shades07.rzone.de.
aktive.schule.,ns1.tldns.net.
aktive.schule.,ns2.tldns.net.
alarm.schule.,ns1032.ui-dns.biz.
alarm.schule.,ns1087.ui-dns.com.
alarm.schule.,ns1089.ui-dns.de.
alarm.schule.,ns1120.ui-dns.org.
albart.schule.,ns1032.ui-dns.de.
albart.schule.,ns1036.ui-dns.com.
albart.schule.,ns1082.ui-dns.biz.
albart.schule.,ns1126.ui-dns.org.
albert-schweitzer.schule.,docks11.rzone.de.
albert-schweitzer.schule.,shades15.rzone.de.
albstadt.schule.,ns03.domaincontrol.com.
albstadt.schule.,ns04.domaincontrol.com.
alea.schule.,ns.second-ns.com.
alea.schule.,ns1.your-server.de.
alea.schule.,ns3.second-ns.de.
alee.schule.,ns29.domaincontrol.com.
alee.schule.,ns30.domaincontrol.com.
alexander.schule.,ns-de.1and1-dns.biz.
alexander.schule.,ns-de.1and1-dns.com.
alexander.schule.,ns-de.1and1-dns.de.
alexander.schule.,ns-de.1and1-dns.org.
alf.schule.,ns1.world4you.at.
alf.schule.,ns2.world4you.at.
alfatraining.schule.,ns.udag.de.
alfatraining.schule.,ns.udag.net.
alfatraining.schule.,ns.udag.org.
